analysis,outcome,exposure,exposure_column,distinct_values,incorrectly_standardized,standardization_issue,very_sparse,high_zero_prop,prop_exposure_zero,potential_separation,prop_outcome_zero_when_exp_zero,data_quality_issue,data_quality_warning
proportion,total,vegan_dishes_prop,exposure_L69HYJ4Y3TR91_1,20,TRUE,"Values outside [0,1]: min=-1.50, max=1.68",FALSE,TRUE,0.9601403860616696,FALSE,0.10822454308093994,TRUE,High zeros (96.0%); Low variation
proportion,total,vegetarian_dishes_count,exposure_L69HYJ4Y3TR91_1,13,TRUE,Has decimals (should be integers),FALSE,TRUE,0.9601403860616696,FALSE,0.10822454308093994,TRUE,High zeros (96.0%); Low variation
proportion,total,vegetarian_dishes_prop,exposure_L69HYJ4Y3TR91_1,23,TRUE,"Values outside [0,1]: min=-2.23, max=4.73",FALSE,TRUE,0.9601403860616696,FALSE,0.10822454308093994,TRUE,High zeros (96.0%); Low variation
proportion,vegan,mpbamod_dishes_count,exposure_2HRX9P6HKXA8V_1,2,FALSE,OK,TRUE,FALSE,0.8988468287791427,FALSE,0.25909914935155487,TRUE,Very sparse (≤2 values)
proportion,vegan,mpbamod_dishes_count,exposure_ED5J990H5VAZT_1,6,FALSE,OK,FALSE,TRUE,0.9316871396339935,FALSE,0.238530875824028,TRUE,High zeros (93.2%)
proportion,vegan,mpbamod_dishes_count,exposure_L69HYJ4Y3TR91_1,3,FALSE,OK,FALSE,TRUE,0.9839558786663324,FALSE,0.2448407643312102,TRUE,High zeros (98.4%)
proportion,vegan,mpbamod_dishes_prop,exposure_L69HYJ4Y3TR91_1,8,FALSE,OK,FALSE,TRUE,0.9839558786663324,FALSE,0.2448407643312102,TRUE,High zeros (98.4%)
proportion,vegan,vegan_dishes_count,exposure_L69HYJ4Y3TR91_1,7,FALSE,OK,FALSE,TRUE,0.9601403860616696,FALSE,0.2503916449086162,TRUE,High zeros (96.0%)
proportion,vegan,vegan_dishes_count,exposure_SRQS8F7JWA9MZ_1,2,FALSE,OK,TRUE,FALSE,0.8312860366006518,FALSE,0.2732207478890229,TRUE,Very sparse (≤2 values)
proportion,vegan,vegan_dishes_prop,exposure_L69HYJ4Y3TR91_1,20,TRUE,"Values outside [0,1]: min=-1.50, max=1.68",FALSE,TRUE,0.9601403860616696,FALSE,0.2503916449086162,TRUE,High zeros (96.0%); Low variation
proportion,vegan,vegetarian_dishes_count,exposure_L69HYJ4Y3TR91_1,13,TRUE,Has decimals (should be integers),FALSE,TRUE,0.9601403860616696,FALSE,0.2503916449086162,TRUE,High zeros (96.0%); Low variation
proportion,vegan,vegetarian_dishes_prop,exposure_L69HYJ4Y3TR91_1,23,TRUE,"Values outside [0,1]: min=-2.23, max=4.73",FALSE,TRUE,0.9601403860616696,FALSE,0.2503916449086162,TRUE,High zeros (96.0%); Low variation
proportion,vegetarian,mpbamod_dishes_count,exposure_2HRX9P6HKXA8V_1,2,FALSE,OK,TRUE,FALSE,0.8988468287791427,FALSE,0.12048528796541626,TRUE,Very sparse (≤2 values)
proportion,vegetarian,mpbamod_dishes_count,exposure_ED5J990H5VAZT_1,6,FALSE,OK,FALSE,TRUE,0.9316871396339935,FALSE,0.11704560742634199,TRUE,High zeros (93.2%)
proportion,vegetarian,mpbamod_dishes_count,exposure_L69HYJ4Y3TR91_1,3,FALSE,OK,FALSE,TRUE,0.9839558786663324,FALSE,0.11643312101910828,TRUE,High zeros (98.4%)
proportion,vegetarian,mpbamod_dishes_prop,exposure_L69HYJ4Y3TR91_1,8,FALSE,OK,FALSE,TRUE,0.9839558786663324,FALSE,0.11643312101910828,TRUE,High zeros (98.4%)
proportion,vegetarian,vegan_dishes_count,exposure_L69HYJ4Y3TR91_1,7,FALSE,OK,FALSE,TRUE,0.9601403860616696,FALSE,0.11906005221932114,TRUE,High zeros (96.0%)
proportion,vegetarian,vegan_dishes_count,exposure_SRQS8F7JWA9MZ_1,2,FALSE,OK,TRUE,FALSE,0.8312860366006518,FALSE,0.13585645355850423,TRUE,Very sparse (≤2 values)
proportion,vegetarian,vegan_dishes_prop,exposure_L69HYJ4Y3TR91_1,20,TRUE,"Values outside [0,1]: min=-1.50, max=1.68",FALSE,TRUE,0.9601403860616696,FALSE,0.11906005221932114,TRUE,High zeros (96.0%); Low variation
proportion,vegetarian,vegetarian_dishes_count,exposure_L69HYJ4Y3TR91_1,13,TRUE,Has decimals (should be integers),FALSE,TRUE,0.9601403860616696,FALSE,0.11906005221932114,TRUE,High zeros (96.0%); Low variation
proportion,vegetarian,vegetarian_dishes_prop,exposure_L69HYJ4Y3TR91_1,23,TRUE,"Values outside [0,1]: min=-2.23, max=4.73",FALSE,TRUE,0.9601403860616696,FALSE,0.11906005221932114,TRUE,High zeros (96.0%); Low variation
proportion_targeted,breakfast_p,breakfast_dishes_count,exposure_L69HYJ4Y3TR91_1,6,FALSE,OK,FALSE,TRUE,0.9602657307595889,FALSE,0.27842318235217334,TRUE,High zeros (96.0%)
proportion_targeted,breakfast_p,breakfast_dishes_count,exposure_W8T41JZK0ZMEP_1,2,FALSE,OK,TRUE,FALSE,0.8979694158937077,FALSE,0.2777777777777778,TRUE,Very sparse (≤2 values)
proportion_targeted,breakfast_p,breakfast_dishes_presence,exposure_2HRX9P6HKXA8V_1,2,FALSE,OK,TRUE,FALSE,0.8988468287791427,FALSE,0.2918700320736299,TRUE,Very sparse (≤2 values)
proportion_targeted,breakfast_p,breakfast_dishes_presence,exposure_ED5J990H5VAZT_1,2,FALSE,OK,TRUE,FALSE,0.7302582100777137,FALSE,0.24253347064881564,TRUE,Very sparse (≤2 values)
proportion_targeted,breakfast_p,breakfast_dishes_presence,exposure_JHDN7CF1C03X5_1,2,FALSE,OK,TRUE,FALSE,0.808849335673101,FALSE,0.2795598946226561,TRUE,Very sparse (≤2 values)
proportion_targeted,breakfast_p,breakfast_dishes_presence,exposure_L69HYJ4Y3TR91_1,2,FALSE,OK,TRUE,TRUE,0.9602657307595889,FALSE,0.27842318235217334,TRUE,Very sparse (≤2 values); High zeros (96.0%)
proportion_targeted,breakfast_p,breakfast_dishes_presence,exposure_SRQS8F7JWA9MZ_1,2,FALSE,OK,TRUE,FALSE,0.8154926046628228,FALSE,0.32677528435290504,TRUE,Very sparse (≤2 values)
proportion_targeted,breakfast_p,breakfast_dishes_presence,exposure_W8T41JZK0ZMEP_1,2,FALSE,OK,TRUE,FALSE,0.8979694158937077,FALSE,0.2777777777777778,TRUE,Very sparse (≤2 values)
proportion_targeted,chicken_p,chicken_dishes_presence,exposure_JHDN7CF1C03X5_1,2,FALSE,OK,TRUE,FALSE,0.4402492668621701,FALSE,0.16652789342214822,TRUE,Very sparse (≤2 values)
proportion_targeted,chicken_p,chicken_dishes_presence,exposure_W8T41JZK0ZMEP_1,2,FALSE,OK,TRUE,FALSE,0.5597507331378299,FALSE,0.2082514734774067,TRUE,Very sparse (≤2 values)
proportion_targeted,dairy_p,dairy_dishes_presence,exposure_ED5J990H5VAZT_1,2,FALSE,OK,TRUE,FALSE,0.5205761316872428,FALSE,0.17247574559827525,TRUE,Very sparse (≤2 values)
proportion_targeted,dairy_p,dairy_dishes_presence,exposure_JHDN7CF1C03X5_1,2,FALSE,OK,TRUE,FALSE,0.7143658810325477,FALSE,0.12673474731605133,TRUE,Very sparse (≤2 values)
proportion_targeted,dairy_p,dairy_dishes_presence,exposure_W8T41JZK0ZMEP_1,2,FALSE,OK,TRUE,FALSE,0.7753460531238309,FALSE,0.16670687575392037,TRUE,Very sparse (≤2 values)
proportion_targeted,egg_p,egg_dishes_presence,exposure_ED5J990H5VAZT_1,2,FALSE,OK,TRUE,FALSE,0.32888190625818275,FALSE,0.1449044585987261,TRUE,Very sparse (≤2 values)
proportion_targeted,egg_p,egg_dishes_presence,exposure_W8T41JZK0ZMEP_1,2,FALSE,OK,TRUE,FALSE,0.6855197695731867,FALSE,0.16233766233766234,TRUE,Very sparse (≤2 values)
proportion_targeted,untextured_p,untextured_dishes_presence,exposure_JHDN7CF1C03X5_1,2,FALSE,OK,TRUE,FALSE,0.6417945690672964,FALSE,0.18469462840323767,TRUE,Very sparse (≤2 values)
proportion_targeted,untextured_p,untextured_dishes_presence,exposure_SRQS8F7JWA9MZ_1,2,FALSE,OK,TRUE,FALSE,0.6441558441558441,FALSE,0.2936217008797654,TRUE,Very sparse (≤2 values)
proportion_targeted,untextured_p,untextured_dishes_presence,exposure_W8T41JZK0ZMEP_1,2,FALSE,OK,TRUE,FALSE,0.7164108618654074,FALSE,0.13744232036914963,TRUE,Very sparse (≤2 values)
