outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,color_group,n_rest_in_group,rest_rank,step_size
chicken_fish,Slope Change,0.33,NA,0.01,6.78,1.00701501860317,NA,Restaurant,W8T41JZK0ZMEP,Animal,25,21,0.15
chicken_fish,Slope Change,427.34,NA,8.96,102533.77,1.04020536333587,NA,Restaurant,W8T41JZK0ZMEP,Animal,25,22,0.15
chicken_fish,Slope Change,0.12,NA,0.01,1.28,1.00779781119614,NA,Restaurant,W8T41JZK0ZMEP,Animal,25,23,0.15
chicken_fish,Slope Change,0.03,NA,0,1.13,1.03587693078474,NA,Restaurant,W8T41JZK0ZMEP,Animal,25,24,0.15
chicken_fish,Slope Change,2.75,NA,0.13,192.14,1.00965690408675,NA,Restaurant,W8T41JZK0ZMEP,Animal,25,25,0.15
chicken_fish,Slope Change,1.61,NA,1.02,2.62,1.01506031606069,NA,Restaurant,EMBVNVD207CC6,Animal,25,9,0.15
chicken_fish,Slope Change,0.8,NA,0.21,2.58,1.00915390439967,NA,Restaurant,C0BE4NDSW26QN,Animal,25,6,0.15
chicken_fish,Slope Change,1.85,NA,0.59,6.8,1.0085008726317,NA,Restaurant,C0BE4NDSW26QN,Animal,25,7,0.15
chicken_fish,Slope Change,0.72,NA,0.01,42.65,1.00962511801436,NA,Restaurant,V3Q26BHF3SE2H,Animal,25,17,0.15
chicken_fish,Slope Change,1.07,NA,0.02,106.79,1.00629275157161,NA,Restaurant,V3Q26BHF3SE2H,Animal,25,18,0.15
chicken_fish,Slope Change,0.73,NA,0.09,5.66,1.01217575258018,NA,Restaurant,V3Q26BHF3SE2H,Animal,25,19,0.15
chicken_fish,Slope Change,4.22,NA,0.23,119.07,1.00951339297384,NA,Restaurant,V3Q26BHF3SE2H,Animal,25,20,0.15
chicken_fish,Slope Change,0.55,NA,0.34,0.83,1.08272037948139,NA,Restaurant,LBZEEFSBJNB3Z,Animal,25,12,0.15
chicken_fish,Slope Change,1.53,NA,0.65,3.94,1.01233307976479,NA,Restaurant,SAFK7ND1HR6XS,Animal,25,15,0.15
chicken_fish,Slope Change,1.55,NA,1.21,1.97,1.03989899367511,NA,Restaurant,S8MT0YGD2KTN9,Animal,25,14,0.15
chicken_fish,Slope Change,2.37,NA,1.88,3.05,1.01503535412049,NA,Restaurant,1SQPTEGYPH0GA,Animal,25,1,0.15
chicken_fish,Slope Change,0.27,NA,0.08,0.87,1.00326920987906,NA,Restaurant,9XKJD8DQTH559,Animal,25,4,0.15
chicken_fish,Slope Change,4.38,NA,1.41,15.84,1.00272407100442,NA,Restaurant,9XKJD8DQTH559,Animal,25,5,0.15
chicken_fish,Slope Change,1.72,NA,0.67,4.92,1.04299409620984,NA,Restaurant,LQ5EH4BKGV61T,Animal,25,13,0.15
chicken_fish,Slope Change,1.15,NA,1.03,1.28,1.01508896645372,NA,Restaurant,78AY09MVJVTYE,Animal,25,3,0.15
vegetarian,Level Change,1.01,NA,0.91,1.12,1.00183643228784,NA,Restaurant,VLZX7K2M9QD4T,Plant-based,27,16,0.15
vegetarian,Level Change,1.38,NA,1.23,1.57,1.0032165819471,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,27,17,0.15
vegetarian,Level Change,1.21,NA,1.08,1.36,1.00810964925066,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,27,18,0.15
vegetarian,Level Change,0.77,NA,0.65,0.92,1.00882375668218,NA,Restaurant,2HRX9P6HKXA8V,Plant-based,27,2,0.15
vegetarian,Level Change,0.98,NA,0.89,1.09,1.00446051554269,NA,Restaurant,JHDN7CF1C03X5,Plant-based,27,10,0.15
vegetarian,Level Change,1.49,NA,1.16,1.93,1.00576917583366,NA,Restaurant,L69HYJ4Y3TR91,Plant-based,27,11,0.15
vegetarian,Level Change,1.18,NA,1.01,1.37,0.99946993223916,NA,Restaurant,ED5J990H5VAZT,Plant-based,27,8,0.15
vegetarian,Level Change,1.25,NA,1.09,1.47,1.00316489160387,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,23,0.15
vegetarian,Level Change,1.21,NA,1.05,1.43,1.00268369607932,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,24,0.15
vegetarian,Level Change,1.11,NA,0.92,1.31,1.0019427967004,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,25,0.15
vegetarian,Level Change,1.15,NA,0.99,1.33,1.00095210380017,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,26,0.15
vegetarian,Level Change,1.17,NA,0.96,1.38,1.0015144579851,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,27,0.15
vegetarian,Level Change,10.32,NA,4.92,23.14,1.0423159919937,NA,Restaurant,EMBVNVD207CC6,Plant-based,27,9,0.15
vegetarian,Level Change,1.03,NA,0.75,1.71,1.01502818877526,NA,Restaurant,C0BE4NDSW26QN,Plant-based,27,6,0.15
vegetarian,Level Change,1.05,NA,0.82,1.63,1.00635422257644,NA,Restaurant,C0BE4NDSW26QN,Plant-based,27,7,0.15
vegetarian,Level Change,1.13,NA,0.96,1.31,1.0014582292002,NA,Restaurant,V3Q26BHF3SE2H,Plant-based,27,19,0.15
vegetarian,Level Change,1.26,NA,1.11,1.51,1.00207941868111,NA,Restaurant,V3Q26BHF3SE2H,Plant-based,27,20,0.15
vegetarian,Level Change,1.23,NA,1.11,1.39,1.00186140082332,NA,Restaurant,V3Q26BHF3SE2H,Plant-based,27,21,0.15
vegetarian,Level Change,1.11,NA,0.95,1.28,1.0007485597574,NA,Restaurant,V3Q26BHF3SE2H,Plant-based,27,22,0.15
vegetarian,Level Change,1.61,NA,1.3,2.05,1.00278373895481,NA,Restaurant,LBZEEFSBJNB3Z,Plant-based,27,12,0.15
vegetarian,Level Change,0.86,NA,0.66,1.13,1.02499711167307,NA,Restaurant,SAFK7ND1HR6XS,Plant-based,27,15,0.15
vegetarian,Level Change,0.85,NA,0.73,0.99,1.00017397322414,NA,Restaurant,S8MT0YGD2KTN9,Plant-based,27,14,0.15
vegetarian,Level Change,0.46,NA,0.38,0.55,1.00420105416793,NA,Restaurant,1SQPTEGYPH0GA,Plant-based,27,1,0.15
vegetarian,Level Change,1.48,NA,1.26,1.75,1.00348936019666,NA,Restaurant,9XKJD8DQTH559,Plant-based,27,4,0.15
vegetarian,Level Change,1.45,NA,1.22,1.74,1.01645892572222,NA,Restaurant,9XKJD8DQTH559,Plant-based,27,5,0.15
vegetarian,Level Change,1.24,NA,0.75,2.03,1.01910741407606,NA,Restaurant,LQ5EH4BKGV61T,Plant-based,27,13,0.15
vegetarian,Level Change,0.93,NA,0.85,1.02,1.02039490147889,NA,Restaurant,78AY09MVJVTYE,Plant-based,27,3,0.15
vegetarian,Slope Change,1.12,NA,0.82,1.53,1.00195812984344,NA,Restaurant,VLZX7K2M9QD4T,Plant-based,27,16,0.15
vegetarian,Slope Change,0.9,NA,0.59,1.34,1.01001177823017,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,27,17,0.15
vegetarian,Slope Change,0.91,NA,0.59,1.31,1.00492497105522,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,27,18,0.15
vegetarian,Slope Change,1.19,NA,1.03,1.39,1.01074736124152,NA,Restaurant,2HRX9P6HKXA8V,Plant-based,27,2,0.15
vegetarian,Slope Change,1.08,NA,0.95,1.23,1.032762091423,NA,Restaurant,JHDN7CF1C03X5,Plant-based,27,10,0.15
vegetarian,Slope Change,1.28,NA,0.92,1.91,1.01673307790907,NA,Restaurant,L69HYJ4Y3TR91,Plant-based,27,11,0.15
vegetarian,Slope Change,1.34,NA,1.11,1.65,1.01630270556275,NA,Restaurant,ED5J990H5VAZT,Plant-based,27,8,0.15
vegetarian,Slope Change,1.03,NA,0.53,1.94,1.01813940643052,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,23,0.15
vegetarian,Slope Change,1.08,NA,0.71,2.04,1.01205212021988,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,24,0.15
vegetarian,Slope Change,0.98,NA,0.52,1.97,1.01046884886864,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,25,0.15
vegetarian,Slope Change,0.9,NA,0.41,1.36,1.01995456850963,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,26,0.15
vegetarian,Slope Change,1.06,NA,0.57,2.2,1.00029695787986,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,27,0.15
vegetarian,Slope Change,1.23,NA,0.99,1.56,1.01740961934683,NA,Restaurant,EMBVNVD207CC6,Plant-based,27,9,0.15
vegetarian,Slope Change,0.95,NA,0.47,1.39,1.01377206603011,NA,Restaurant,C0BE4NDSW26QN,Plant-based,27,6,0.15
vegetarian,Slope Change,1.17,NA,0.8,2.28,1.00331799792129,NA,Restaurant,C0BE4NDSW26QN,Plant-based,27,7,0.15
vegetarian,Slope Change,0.88,NA,0.33,1.36,1.00328820495771,NA,Restaurant,V3Q26BHF3SE2H,Plant-based,27,19,0.15
vegetarian,Slope Change,1,NA,0.47,1.72,1.04038749635131,NA,Restaurant,V3Q26BHF3SE2H,Plant-based,27,20,0.15
vegetarian,Slope Change,1.13,NA,0.78,1.75,1.0028138822865,NA,Restaurant,V3Q26BHF3SE2H,Plant-based,27,21,0.15
vegetarian,Slope Change,1.34,NA,0.89,3.6,1.0103759197154,NA,Restaurant,V3Q26BHF3SE2H,Plant-based,27,22,0.15
vegetarian,Slope Change,0.92,NA,0.71,1.17,1.00345963342613,NA,Restaurant,LBZEEFSBJNB3Z,Plant-based,27,12,0.15
vegetarian,Slope Change,1.11,NA,0.81,1.59,1.00341690680039,NA,Restaurant,SAFK7ND1HR6XS,Plant-based,27,15,0.15
vegetarian,Slope Change,1.14,NA,1.01,1.32,0.999070990521885,NA,Restaurant,S8MT0YGD2KTN9,Plant-based,27,14,0.15
vegetarian,Slope Change,1.31,NA,1.11,1.54,1.05810778677041,NA,Restaurant,1SQPTEGYPH0GA,Plant-based,27,1,0.15
vegetarian,Slope Change,0.88,NA,0.43,1.21,1.0096021643117,NA,Restaurant,9XKJD8DQTH559,Plant-based,27,4,0.15
vegetarian,Slope Change,1.15,NA,0.82,2.59,1.03342787277783,NA,Restaurant,9XKJD8DQTH559,Plant-based,27,5,0.15
vegetarian,Slope Change,1.15,NA,0.83,1.64,1.00798854036546,NA,Restaurant,LQ5EH4BKGV61T,Plant-based,27,13,0.15
vegetarian,Slope Change,1.09,NA,0.99,1.2,1.11306950270987,NA,Restaurant,78AY09MVJVTYE,Plant-based,27,3,0.15
vegan,Level Change,1.16,NA,1.03,1.29,1.00569617583264,NA,Restaurant,VLZX7K2M9QD4T,Plant-based,27,16,0.15
vegan,Level Change,1.18,NA,0.99,1.43,0.999198535755967,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,27,17,0.15
vegan,Level Change,1.05,NA,0.88,1.25,0.999290110166852,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,27,18,0.15
vegan,Level Change,0.84,NA,0.7,0.99,1.00004099893528,NA,Restaurant,2HRX9P6HKXA8V,Plant-based,27,2,0.15
vegan,Level Change,0.97,NA,0.86,1.1,1.00283296743086,NA,Restaurant,JHDN7CF1C03X5,Plant-based,27,10,0.15
vegan,Level Change,1.32,NA,0.93,1.87,1.00072890171787,NA,Restaurant,L69HYJ4Y3TR91,Plant-based,27,11,0.15
vegan,Level Change,1.71,NA,1.29,2.43,1.00170041548938,NA,Restaurant,ED5J990H5VAZT,Plant-based,27,8,0.15
vegan,Level Change,1.2,NA,1,1.47,0.999126793306082,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,23,0.15
vegan,Level Change,1.29,NA,1.04,1.65,1.00531103592639,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,24,0.15
vegan,Level Change,0.94,NA,0.77,1.14,1.02798645930947,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,25,0.15
vegan,Level Change,1.08,NA,0.9,1.3,1.00552015783531,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,26,0.15
vegan,Level Change,1.1,NA,0.88,1.37,1.00848259993882,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,27,0.15
vegan,Level Change,8.15,NA,3.65,16.53,1.02132560227547,NA,Restaurant,EMBVNVD207CC6,Plant-based,27,9,0.15
vegan,Level Change,1.11,NA,0.67,1.69,1.00768666820594,NA,Restaurant,C0BE4NDSW26QN,Plant-based,27,6,0.15
vegan,Level Change,1.14,NA,0.73,1.78,1.01913297002111,NA,Restaurant,C0BE4NDSW26QN,Plant-based,27,7,0.15
vegan,Level Change,1.53,NA,1.1,2.17,1.0073301635895,NA,Restaurant,V3Q26BHF3SE2H,Plant-based,27,19,0.15
vegan,Level Change,1.74,NA,1.29,2.51,1.00052683028832,NA,Restaurant,V3Q26BHF3SE2H,Plant-based,27,20,0.15
vegan,Level Change,1.19,NA,0.98,1.46,1.00699892738801,NA,Restaurant,V3Q26BHF3SE2H,Plant-based,27,21,0.15
vegan,Level Change,1.06,NA,0.85,1.38,1.00237703498927,NA,Restaurant,V3Q26BHF3SE2H,Plant-based,27,22,0.15
vegan,Level Change,1.19,NA,0.89,1.69,0.999703660619658,NA,Restaurant,LBZEEFSBJNB3Z,Plant-based,27,12,0.15
vegan,Level Change,0.83,NA,0.66,1.04,0.999251401231608,NA,Restaurant,SAFK7ND1HR6XS,Plant-based,27,15,0.15
vegan,Level Change,0.82,NA,0.65,1.03,1.00345057207301,NA,Restaurant,S8MT0YGD2KTN9,Plant-based,27,14,0.15
vegan,Level Change,0.39,NA,0.3,0.52,1.00325756416394,NA,Restaurant,1SQPTEGYPH0GA,Plant-based,27,1,0.15
vegan,Level Change,1.3,NA,1.06,1.6,1.0103142334967,NA,Restaurant,9XKJD8DQTH559,Plant-based,27,4,0.15
vegan,Level Change,1.66,NA,1.24,2.21,1.00397124553422,NA,Restaurant,9XKJD8DQTH559,Plant-based,27,5,0.15
vegan,Level Change,1.18,NA,0.67,2.21,1.00314152065669,NA,Restaurant,LQ5EH4BKGV61T,Plant-based,27,13,0.15
vegan,Level Change,0.83,NA,0.71,0.98,1.00949619318111,NA,Restaurant,78AY09MVJVTYE,Plant-based,27,3,0.15
vegan,Slope Change,1.09,NA,0.82,1.47,1.16921942590989,NA,Restaurant,VLZX7K2M9QD4T,Plant-based,27,16,0.15
vegan,Slope Change,0.76,NA,0.31,1.18,1.00123085194338,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,27,17,0.15
vegan,Slope Change,1.08,NA,0.67,2.57,1.00098719802366,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,27,18,0.15
vegan,Slope Change,1.15,NA,1,1.39,1.08689478108715,NA,Restaurant,2HRX9P6HKXA8V,Plant-based,27,2,0.15
vegan,Slope Change,1.07,NA,0.91,1.25,1.15105621784606,NA,Restaurant,JHDN7CF1C03X5,Plant-based,27,10,0.15
vegan,Slope Change,1.19,NA,0.97,1.95,1.13573210991496,NA,Restaurant,L69HYJ4Y3TR91,Plant-based,27,11,0.15
vegan,Slope Change,1.22,NA,0.99,1.7,1.06851128764513,NA,Restaurant,ED5J990H5VAZT,Plant-based,27,8,0.15
vegan,Slope Change,1.01,NA,0.52,1.81,1.01638390712878,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,23,0.15
vegan,Slope Change,1.18,NA,0.63,2.67,1.02080786544871,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,24,0.15
vegan,Slope Change,0.99,NA,0.54,1.73,1.02920642515833,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,25,0.15
vegan,Slope Change,0.84,NA,0.33,1.54,1.03973485362155,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,26,0.15
vegan,Slope Change,1.02,NA,0.55,2.08,1.00974674292192,NA,Restaurant,W8T41JZK0ZMEP,Plant-based,27,27,0.15
vegan,Slope Change,1.16,NA,0.98,1.58,1.0556899509868,NA,Restaurant,EMBVNVD207CC6,Plant-based,27,9,0.15
vegan,Slope Change,0.96,NA,0.65,1.48,1.02797730961076,NA,Restaurant,C0BE4NDSW26QN,Plant-based,27,6,0.15
vegan,Slope Change,0.97,NA,0.64,1.54,1.01528888211429,NA,Restaurant,C0BE4NDSW26QN,Plant-based,27,7,0.15
vegan,Slope Change,0.86,NA,0.25,1.43,1.00116380534393,NA,Restaurant,V3Q26BHF3SE2H,Plant-based,27,19,0.15
vegan,Slope Change,0.94,NA,0.4,1.73,1.00050167427582,NA,Restaurant,V3Q26BHF3SE2H,Plant-based,27,20,0.15
vegan,Slope Change,1.44,NA,0.89,3.52,1.00613768985785,NA,Restaurant,V3Q26BHF3SE2H,Plant-based,27,21,0.15
vegan,Slope Change,1.32,NA,0.82,4,1.00524003268581,NA,Restaurant,V3Q26BHF3SE2H,Plant-based,27,22,0.15
vegan,Slope Change,1.11,NA,0.93,1.37,1.10903842482649,NA,Restaurant,LBZEEFSBJNB3Z,Plant-based,27,12,0.15
vegan,Slope Change,1.12,NA,0.92,1.58,1.13546487776212,NA,Restaurant,SAFK7ND1HR6XS,Plant-based,27,15,0.15
vegan,Slope Change,1.07,NA,0.91,1.32,1.06819223497551,NA,Restaurant,S8MT0YGD2KTN9,Plant-based,27,14,0.15
vegan,Slope Change,1.15,NA,0.99,1.45,1.09878212460687,NA,Restaurant,1SQPTEGYPH0GA,Plant-based,27,1,0.15
vegan,Slope Change,0.92,NA,0.48,1.6,1.01055354579644,NA,Restaurant,9XKJD8DQTH559,Plant-based,27,4,0.15
vegan,Slope Change,1.03,NA,0.62,1.86,1.02431502402788,NA,Restaurant,9XKJD8DQTH559,Plant-based,27,5,0.15
vegan,Slope Change,1.12,NA,0.88,1.55,1.14439757802797,NA,Restaurant,LQ5EH4BKGV61T,Plant-based,27,13,0.15
vegan,Slope Change,1.1,NA,1,1.22,1.0468626660636,NA,Restaurant,78AY09MVJVTYE,Plant-based,27,3,0.15
