Series Id,Year,Period,Value
CUUR0000SEFV,2017,M10,270.658
CUUR0000SEFV,2017,M11,271.152
CUUR0000SEFV,2017,M12,271.811
CUUS0000SEFV,2017,S01,267.294
CUUS0000SEFV,2017,S02,270.358
CUUR0000SEFV,2018,M01,272.772
CUUR0000SEFV,2018,M02,273.435
CUUR0000SEFV,2018,M03,273.733
CUUR0000SEFV,2018,M04,274.393
CUUR0000SEFV,2018,M05,275.307
CUUR0000SEFV,2018,M06,275.808
CUUR0000SEFV,2018,M07,276.125
CUUR0000SEFV,2018,M08,276.648
CUUR0000SEFV,2018,M09,277.258
CUUR0000SEFV,2018,M10,277.513
CUUR0000SEFV,2018,M11,278.306
CUUR0000SEFV,2018,M12,279.419
CUUS0000SEFV,2018,S01,274.241
CUUS0000SEFV,2018,S02,277.545
CUUR0000SEFV,2019,M01,280.380
CUUR0000SEFV,2019,M02,281.373
CUUR0000SEFV,2019,M03,281.887
CUUR0000SEFV,2019,M04,282.798
CUUR0000SEFV,2019,M05,283.394
CUUR0000SEFV,2019,M06,284.316
CUUR0000SEFV,2019,M07,284.891
CUUR0000SEFV,2019,M08,285.507
CUUR0000SEFV,2019,M09,286.246
CUUR0000SEFV,2019,M10,286.791
CUUR0000SEFV,2019,M11,287.255
CUUR0000SEFV,2019,M12,288.078
CUUS0000SEFV,2019,S01,282.358
CUUS0000SEFV,2019,S02,286.461
CUUR0000SEFV,2020,M01,289.137
CUUR0000SEFV,2020,M02,289.781
CUUR0000SEFV,2020,M03,290.216
CUUR0000SEFV,2020,M04,290.639
CUUR0000SEFV,2020,M05,291.709
CUUR0000SEFV,2020,M06,293.219
CUUR0000SEFV,2020,M07,294.599
CUUR0000SEFV,2020,M08,295.437
CUUR0000SEFV,2020,M09,297.080
CUUR0000SEFV,2020,M10,297.893
CUUR0000SEFV,2020,M11,298.253
CUUR0000SEFV,2020,M12,299.369
CUUS0000SEFV,2020,S01,290.784
CUUS0000SEFV,2020,S02,297.105
CUUR0000SEFV,2021,M01,300.382
CUUR0000SEFV,2021,M02,300.540
CUUR0000SEFV,2021,M03,300.897
CUUR0000SEFV,2021,M04,301.819
CUUR0000SEFV,2021,M05,303.481
CUUR0000SEFV,2021,M06,305.634
CUUR0000SEFV,2021,M07,308.023
CUUR0000SEFV,2021,M08,309.336
CUUR0000SEFV,2021,M09,310.996
CUUR0000SEFV,2021,M10,313.592
CUUR0000SEFV,2021,M11,315.481
CUUR0000SEFV,2021,M12,317.372
CUUS0000SEFV,2021,S01,302.126
CUUS0000SEFV,2021,S02,312.467
CUUR0000SEFV,2022,M01,319.471
CUUR0000SEFV,2022,M02,320.880
CUUR0000SEFV,2022,M03,321.689
CUUR0000SEFV,2022,M04,323.559
CUUR0000SEFV,2022,M05,325.952
CUUR0000SEFV,2022,M06,329.033
CUUR0000SEFV,2022,M07,331.342
CUUR0000SEFV,2022,M08,334.212
CUUR0000SEFV,2022,M09,337.369
CUUR0000SEFV,2022,M10,340.532
CUUR0000SEFV,2022,M11,342.266
CUUR0000SEFV,2022,M12,343.559
CUUS0000SEFV,2022,S01,323.431
CUUS0000SEFV,2022,S02,338.213
CUUR0000SEFV,2023,M01,345.677
CUUR0000SEFV,2023,M02,347.869
CUUR0000SEFV,2023,M03,349.944
CUUR0000SEFV,2023,M04,351.237
CUUR0000SEFV,2023,M05,352.892
CUUR0000SEFV,2023,M06,354.245
CUUR0000SEFV,2023,M07,354.862
CUUR0000SEFV,2023,M08,356.083
CUUR0000SEFV,2023,M09,357.488
CUUR0000SEFV,2023,M10,358.824
CUUR0000SEFV,2023,M11,360.383
CUUR0000SEFV,2023,M12,361.564
CUUS0000SEFV,2023,S01,350.311
CUUS0000SEFV,2023,S02,358.201
CUUR0000SEFV,2024,M01,363.249
CUUR0000SEFV,2024,M02,363.596
CUUR0000SEFV,2024,M03,364.546
CUUR0000SEFV,2024,M04,365.813
CUUR0000SEFV,2024,M05,367.099
CUUR0000SEFV,2024,M06,368.616
CUUR0000SEFV,2024,M07,369.383
CUUR0000SEFV,2024,M08,370.348
CUUR0000SEFV,2024,M09,371.604
CUUR0000SEFV,2024,M10,372.486
CUUR0000SEFV,2024,M11,373.530
CUUR0000SEFV,2024,M12,374.644
CUUS0000SEFV,2024,S01,365.487
CUUS0000SEFV,2024,S02,371.999
CUUR0000SEFV,2025,M01,375.532
