analysis,outcome,exposure,exposure_column,distinct_values,standardization_issue,prop_exposure_zero,data_quality_warning
proportion,nonvegan,vegetarian_dishes_prop,exposure_ED5J990H5VAZT_1,47,"Values outside [0,1]: min=-1.80, max=2.56",0.6718475808473302,OK
proportion,nonvegan,vegetarian_dishes_prop,exposure_JHDN7CF1C03X5_1,46,"Values outside [0,1]: min=-8.09, max=2.05",0.8085986462772625,Low variation
proportion,nonvegan,vegetarian_dishes_prop,exposure_L69HYJ4Y3TR91_1,23,"Values outside [0,1]: min=-2.23, max=4.73",0.9601403860616696,High zeros (96.0%); Low variation
proportion,nonvegan,vegetarian_dishes_prop,exposure_W8T41JZK0ZMEP_1,60,"Values outside [0,1]: min=-6.03, max=0.91",0.8494610177989471,Low variation
proportion,total,mpbamod_dishes_prop,exposure_ED5J990H5VAZT_1,15,"Values outside [0,1]: min=-0.51, max=2.33",0.6718475808473302,OK
proportion,total,mpbamod_dishes_prop,exposure_JHDN7CF1C03X5_1,52,"Values outside [0,1]: min=-1.82, max=7.75",0.8085986462772625,Low variation
proportion,total,mpbamod_dishes_prop,exposure_W8T41JZK0ZMEP_1,99,"Values outside [0,1]: min=-3.12, max=1.97",0.8494610177989471,Low variation
proportion,total,vegan_dishes_prop,exposure_ED5J990H5VAZT_1,46,"Values outside [0,1]: min=-1.88, max=4.45",0.6718475808473302,Low variation
proportion,total,vegan_dishes_prop,exposure_JHDN7CF1C03X5_1,51,"Values outside [0,1]: min=-4.23, max=2.08",0.8085986462772625,Low variation
proportion,total,vegan_dishes_prop,exposure_L69HYJ4Y3TR91_1,20,"Values outside [0,1]: min=-1.50, max=1.68",0.9601403860616696,High zeros (96.0%); Low variation
proportion,total,vegan_dishes_prop,exposure_W8T41JZK0ZMEP_1,89,"Values outside [0,1]: min=-2.52, max=2.97",0.8494610177989471,Low variation
proportion,total,vegetarian_dishes_prop,exposure_ED5J990H5VAZT_1,47,"Values outside [0,1]: min=-1.80, max=2.56",0.6718475808473302,OK
proportion,total,vegetarian_dishes_prop,exposure_JHDN7CF1C03X5_1,46,"Values outside [0,1]: min=-8.09, max=2.05",0.8085986462772625,Low variation
proportion,total,vegetarian_dishes_prop,exposure_L69HYJ4Y3TR91_1,23,"Values outside [0,1]: min=-2.23, max=4.73",0.9601403860616696,High zeros (96.0%); Low variation
proportion,total,vegetarian_dishes_prop,exposure_W8T41JZK0ZMEP_1,60,"Values outside [0,1]: min=-6.03, max=0.91",0.8494610177989471,Low variation
proportion,vegan,mpbamod_dishes_prop,exposure_ED5J990H5VAZT_1,15,"Values outside [0,1]: min=-0.51, max=2.33",0.6718475808473302,OK
proportion,vegan,mpbamod_dishes_prop,exposure_JHDN7CF1C03X5_1,52,"Values outside [0,1]: min=-1.82, max=7.75",0.8085986462772625,Low variation
proportion,vegan,mpbamod_dishes_prop,exposure_W8T41JZK0ZMEP_1,99,"Values outside [0,1]: min=-3.12, max=1.97",0.8494610177989471,Low variation
proportion,vegan,vegan_dishes_prop,exposure_ED5J990H5VAZT_1,46,"Values outside [0,1]: min=-1.88, max=4.45",0.6718475808473302,Low variation
proportion,vegan,vegan_dishes_prop,exposure_JHDN7CF1C03X5_1,51,"Values outside [0,1]: min=-4.23, max=2.08",0.8085986462772625,Low variation
proportion,vegan,vegan_dishes_prop,exposure_L69HYJ4Y3TR91_1,20,"Values outside [0,1]: min=-1.50, max=1.68",0.9601403860616696,High zeros (96.0%); Low variation
proportion,vegan,vegan_dishes_prop,exposure_W8T41JZK0ZMEP_1,89,"Values outside [0,1]: min=-2.52, max=2.97",0.8494610177989471,Low variation
proportion,vegan,vegetarian_dishes_prop,exposure_ED5J990H5VAZT_1,47,"Values outside [0,1]: min=-1.80, max=2.56",0.6718475808473302,OK
proportion,vegan,vegetarian_dishes_prop,exposure_JHDN7CF1C03X5_1,46,"Values outside [0,1]: min=-8.09, max=2.05",0.8085986462772625,Low variation
proportion,vegan,vegetarian_dishes_prop,exposure_L69HYJ4Y3TR91_1,23,"Values outside [0,1]: min=-2.23, max=4.73",0.9601403860616696,High zeros (96.0%); Low variation
proportion,vegan,vegetarian_dishes_prop,exposure_W8T41JZK0ZMEP_1,60,"Values outside [0,1]: min=-6.03, max=0.91",0.8494610177989471,Low variation
proportion,vegetarian,mpbamod_dishes_prop,exposure_ED5J990H5VAZT_1,15,"Values outside [0,1]: min=-0.51, max=2.33",0.6718475808473302,OK
proportion,vegetarian,mpbamod_dishes_prop,exposure_JHDN7CF1C03X5_1,52,"Values outside [0,1]: min=-1.82, max=7.75",0.8085986462772625,Low variation
proportion,vegetarian,mpbamod_dishes_prop,exposure_W8T41JZK0ZMEP_1,99,"Values outside [0,1]: min=-3.12, max=1.97",0.8494610177989471,Low variation
proportion,vegetarian,vegan_dishes_prop,exposure_ED5J990H5VAZT_1,46,"Values outside [0,1]: min=-1.88, max=4.45",0.6718475808473302,Low variation
proportion,vegetarian,vegan_dishes_prop,exposure_JHDN7CF1C03X5_1,51,"Values outside [0,1]: min=-4.23, max=2.08",0.8085986462772625,Low variation
proportion,vegetarian,vegan_dishes_prop,exposure_L69HYJ4Y3TR91_1,20,"Values outside [0,1]: min=-1.50, max=1.68",0.9601403860616696,High zeros (96.0%); Low variation
proportion,vegetarian,vegan_dishes_prop,exposure_W8T41JZK0ZMEP_1,89,"Values outside [0,1]: min=-2.52, max=2.97",0.8494610177989471,Low variation
proportion,vegetarian,vegetarian_dishes_prop,exposure_ED5J990H5VAZT_1,47,"Values outside [0,1]: min=-1.80, max=2.56",0.6718475808473302,OK
proportion,vegetarian,vegetarian_dishes_prop,exposure_JHDN7CF1C03X5_1,46,"Values outside [0,1]: min=-8.09, max=2.05",0.8085986462772625,Low variation
proportion,vegetarian,vegetarian_dishes_prop,exposure_L69HYJ4Y3TR91_1,23,"Values outside [0,1]: min=-2.23, max=4.73",0.9601403860616696,High zeros (96.0%); Low variation
proportion,vegetarian,vegetarian_dishes_prop,exposure_W8T41JZK0ZMEP_1,60,"Values outside [0,1]: min=-6.03, max=0.91",0.8494610177989471,Low variation
