outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,color_group,step_size
vegan,Slope Change,-0.013565433972,-0.1630337,0.18297985,1.03417141594241,35.6272940930249,Pooled,POOLED,Plant-based,0.06666666666666667
vegan,Gender x Level,-0.0154530674723667,-0.102945575,0.0543667350000001,1.06185702820023,37.0915298073444,Pooled,POOLED,Plant-based,0.06666666666666667
total,Level Change,-0.00530362325823333,-0.159171925,0.153443525,1.00647822435307,682.848550332673,Restaurant,SRQS8F7JWA9MZ,Total,0.03636363636363637
total,Level Change,-0.0166598768310867,-0.169694025,0.14757285,1.00341586699518,549.15324278504,Restaurant,SRQS8F7JWA9MZ,Total,0.03636363636363637
total,Level Change,-0.0241323058962667,-0.238963925,0.1617112,1.00455271893625,461.791579867645,Restaurant,2HRX9P6HKXA8V,Total,0.03636363636363637
total,Level Change,0.03866342624145,-0.127131025,0.311724925,1.00992751597377,361.035426583998,Restaurant,L69HYJ4Y3TR91,Total,0.03636363636363637
total,Level Change,-0.00832103903993,-0.07333676,0.0574399975,1.00089095079176,996.478485334622,Restaurant,ED5J990H5VAZT,Total,0.03636363636363637
total,Slope Change,-0.157407678224667,-1.07022075,0.3655665,1.00245607368683,308.43185435495,Restaurant,SRQS8F7JWA9MZ,Total,0.06666666666666667
total,Slope Change,0.0503612215009,-0.494156375,0.977161225,1.00300514572811,280.302752138851,Restaurant,SRQS8F7JWA9MZ,Total,0.06666666666666667
total,Slope Change,0.028729914265,-0.133283675,0.192981075,1.01050500753137,253.878719894432,Restaurant,2HRX9P6HKXA8V,Total,0.06666666666666667
total,Slope Change,0.0441557338019333,-0.4064222,0.516239175,1.00512144754917,293.351664541944,Restaurant,L69HYJ4Y3TR91,Total,0.06666666666666667
total,Slope Change,0.0598444262111267,-0.074944695,0.20051915,1.00940161424677,302.619776884994,Restaurant,ED5J990H5VAZT,Total,0.06666666666666667
total,Gender x Level,0.1214143827635,-0.0418497925,0.318484875,1.00263270319602,714.874547752033,Restaurant,SRQS8F7JWA9MZ,Total,0.06666666666666667
total,Level Change,-0.0635792847755,-0.242084,0.078425005,1.00220699208803,610.523206910926,Restaurant,SRQS8F7JWA9MZ_1_genderfemale,Total,0.03636363636363637
total,Gender x Level,-0.152810822796833,-0.354663,0.0177220075,1.00221887487525,741.057647927121,Restaurant,SRQS8F7JWA9MZ,Total,0.06666666666666667
total,Level Change,0.0184226845753667,-0.132918825,0.20926805,1.00297143019522,660.484477317202,Restaurant,SRQS8F7JWA9MZ_2_genderfemale,Total,0.03636363636363637
total,Gender x Level,0.0335521934355333,-0.161105475,0.226381075,1.01113510838697,428.484780581528,Restaurant,2HRX9P6HKXA8V,Total,0.06666666666666667
total,Level Change,-0.186918518378367,-0.42242745,0.03051059,1.01801250420819,229.534391422402,Restaurant,2HRX9P6HKXA8V_1_genderfemale,Total,0.03636363636363637
total,Gender x Level,0.268686708823333,0.068882525,0.474232,1.00390749960505,489.515518188619,Restaurant,L69HYJ4Y3TR91,Total,0.06666666666666667
total,Level Change,0.0138588515088667,-0.1666309,0.195318425,1.00523660364991,416.957675435406,Restaurant,L69HYJ4Y3TR91_1_genderfemale,Total,0.03636363636363637
total,Gender x Level,-0.0255827137440333,-0.0689603725,0.0182904725,1.00055449262783,2037.52266574251,Restaurant,ED5J990H5VAZT,Total,0.06666666666666667
total,Level Change,0.0265929161248333,-0.01569697,0.0702087075,1.00044439920276,2209.41370243874,Restaurant,ED5J990H5VAZT_1_genderfemale,Total,0.03636363636363637
nonvegan,Level Change,0.0249792579102667,-0.1094436,0.19143775,1.00777550459451,775.605173437497,Restaurant,SRQS8F7JWA9MZ,Animal,0.03636363636363637
nonvegan,Level Change,-0.0362032074650533,-0.197010275,0.107696875,1.00079165960148,624.529510678914,Restaurant,SRQS8F7JWA9MZ,Animal,0.03636363636363637
nonvegan,Level Change,-0.0639346288857867,-0.31496385,0.11714105,1.00947612785568,389.160120450188,Restaurant,2HRX9P6HKXA8V,Animal,0.03636363636363637
nonvegan,Level Change,0.0468218308230333,-0.144319175,0.32189125,1.00564330956394,387.525641630131,Restaurant,L69HYJ4Y3TR91,Animal,0.03636363636363637
nonvegan,Level Change,-0.015897459318784,-0.0846191175,0.051516835,1.00166792584476,1137.88624591463,Restaurant,ED5J990H5VAZT,Animal,0.03636363636363637
nonvegan,Slope Change,-0.149579013169333,-1.01619025,0.439348275,1.00629557088147,380.6301288051,Restaurant,SRQS8F7JWA9MZ,Animal,0.06666666666666667
nonvegan,Slope Change,0.0440635886173333,-0.5449623,0.909649275,1.01069746375437,388.813902641262,Restaurant,SRQS8F7JWA9MZ,Animal,0.06666666666666667
nonvegan,Slope Change,0.0531856978437867,-0.088663255,0.222861125,1.00596281085304,273.209276853575,Restaurant,2HRX9P6HKXA8V,Animal,0.06666666666666667
nonvegan,Slope Change,0.0305964364824,-0.382366275,0.418955225,1.00565498705627,336.423556696388,Restaurant,L69HYJ4Y3TR91,Animal,0.06666666666666667
nonvegan,Slope Change,0.0439526632357243,-0.08597669,0.189563625,1.00097727506274,319.002581200723,Restaurant,ED5J990H5VAZT,Animal,0.06666666666666667
nonvegan,Gender x Level,0.114291336828753,-0.0422028475,0.308550275,1.00375396134415,576.57728391952,Restaurant,SRQS8F7JWA9MZ,Animal,0.06666666666666667
nonvegan,Level Change,-0.0130835541438667,-0.157479025,0.140832825,1.00172477615346,843.496409533901,Restaurant,SRQS8F7JWA9MZ_1_genderfemale,Animal,0.03636363636363637
nonvegan,Gender x Level,-0.0799167722789667,-0.289593925,0.08159901,1.00344103949887,594.938386504057,Restaurant,SRQS8F7JWA9MZ,Animal,0.06666666666666667
nonvegan,Level Change,-0.0270128566158667,-0.186323825,0.122690075,1.00089960921398,851.795709091474,Restaurant,SRQS8F7JWA9MZ_2_genderfemale,Animal,0.03636363636363637
nonvegan,Gender x Level,0.0323284526449,-0.157107275,0.204986275,1.00056255440363,458.585803543015,Restaurant,2HRX9P6HKXA8V,Animal,0.06666666666666667
nonvegan,Level Change,-0.111273138875793,-0.34373165,0.0523163975,1.00698418472517,190.200407287281,Restaurant,2HRX9P6HKXA8V_1_genderfemale,Animal,0.03636363636363637
nonvegan,Gender x Level,0.296561247966667,0.106342,0.47793665,1.00270241297036,706.34038695672,Restaurant,L69HYJ4Y3TR91,Animal,0.06666666666666667
nonvegan,Level Change,-0.00560511316843333,-0.1615906,0.142024875,1.00057260571404,699.344868434629,Restaurant,L69HYJ4Y3TR91_1_genderfemale,Animal,0.03636363636363637
nonvegan,Gender x Level,-0.0107761751040167,-0.058264495,0.039144645,0.999625370669214,2395.2577294487,Restaurant,ED5J990H5VAZT,Animal,0.06666666666666667
nonvegan,Level Change,0.0291988895675333,-0.0154372675,0.0766802275,1.00043586591132,1614.61866971318,Restaurant,ED5J990H5VAZT_1_genderfemale,Animal,0.03636363636363637
meat,Level Change,0.03259771085608,-0.112260525,0.21724585,1.00427271552193,445.764509868768,Restaurant,SRQS8F7JWA9MZ,Animal,0.03636363636363637
meat,Level Change,-0.0366991380992867,-0.21368395,0.11158955,1.0040544625258,479.738834655575,Restaurant,SRQS8F7JWA9MZ,Animal,0.03636363636363637
meat,Level Change,0.022542119498,-0.103031875,0.17603015,1.00436135869838,478.311568950423,Restaurant,2HRX9P6HKXA8V,Animal,0.03636363636363637
meat,Level Change,0.01768699251819,-0.095013465,0.136118725,1.00277030352616,618.021545207846,Restaurant,L69HYJ4Y3TR91,Animal,0.03636363636363637
meat,Level Change,0.0160424542168667,-0.0460102775,0.081815815,0.999881446899534,1027.42404152222,Restaurant,ED5J990H5VAZT,Animal,0.03636363636363637
meat,Slope Change,-0.248064114027,-1.244822,0.36937725,1.00318170409021,290.232501955066,Restaurant,SRQS8F7JWA9MZ,Animal,0.06666666666666667
meat,Slope Change,0.196327351451667,-0.42041995,1.200415,1.00391198613684,300.240759011533,Restaurant,SRQS8F7JWA9MZ,Animal,0.06666666666666667
meat,Slope Change,0.0631176137643367,-0.096408635,0.225852975,1.0148868346571,270.206191773199,Restaurant,2HRX9P6HKXA8V,Animal,0.06666666666666667
meat,Slope Change,0.236780926553,-0.166332775,0.859303775,1.00842610064425,249.362093549453,Restaurant,L69HYJ4Y3TR91,Animal,0.06666666666666667
meat,Slope Change,0.215475342213333,0.0931574825,0.338383375,1.00345219414312,449.767607454303,Restaurant,ED5J990H5VAZT,Animal,0.06666666666666667
meat,Gender x Level,0.0449300888195,-0.10924745,0.235338425,1.00225364573557,408.675268222168,Restaurant,SRQS8F7JWA9MZ,Animal,0.06666666666666667
meat,Level Change,0.03529670152741,-0.10860025,0.216879525,1.00971172031276,473.934732635387,Restaurant,SRQS8F7JWA9MZ_1_genderfemale,Animal,0.03636363636363637
meat,Gender x Level,-0.0961532825965667,-0.29544885,0.0621290900000001,1.00060204344656,416.728707876466,Restaurant,SRQS8F7JWA9MZ,Animal,0.06666666666666667
meat,Level Change,-0.0410887263925667,-0.2276927,0.106897125,1.01143804401928,484.043599579606,Restaurant,SRQS8F7JWA9MZ_2_genderfemale,Animal,0.03636363636363637
meat,Gender x Level,0.00306951639406667,-0.14092055,0.139517175,1.00177874465106,453.344052507158,Restaurant,2HRX9P6HKXA8V,Animal,0.06666666666666667
meat,Level Change,-0.127075733368233,-0.296338725,0.00529197975,1.00392363365111,261.224163082829,Restaurant,2HRX9P6HKXA8V_1_genderfemale,Animal,0.03636363636363637
meat,Gender x Level,0.020178331166154,-0.05979129,0.104659475,1.001678212875,1450.21371086951,Restaurant,L69HYJ4Y3TR91,Animal,0.06666666666666667
meat,Level Change,-0.0072181737646,-0.0813306425,0.075933315,1.00381508747661,726.784971192295,Restaurant,L69HYJ4Y3TR91_1_genderfemale,Animal,0.03636363636363637
meat,Gender x Level,-0.164992558933333,-0.212562175,-0.11699055,1.00162938443986,1778.37489603849,Restaurant,ED5J990H5VAZT,Animal,0.06666666666666667
meat,Level Change,-0.0629479020573333,-0.109428025,-0.01773064,0.999519888478693,1438.31880460767,Restaurant,ED5J990H5VAZT_1_genderfemale,Animal,0.03636363636363637
chicken_fish,Level Change,-2.29355016666667e-4,-5.44379775e-4,-5.33264e-5,2.66762798295559,3.5582461374461,Restaurant,SRQS8F7JWA9MZ,Animal,0.03636363636363637
chicken_fish,Level Change,1.26414540818567e-5,-1.53670825e-5,9.055987e-5,1.55924810309309,5.32006386622637,Restaurant,SRQS8F7JWA9MZ,Animal,0.03636363636363637
chicken_fish,Level Change,0.1743676383,0.070879,0.32975,2.59781975421231,3.57895690123425,Restaurant,2HRX9P6HKXA8V,Animal,0.03636363636363637
chicken_fish,Level Change,0.251104219666667,0.133798,0.354852,2.82952006576327,3.48955039695962,Restaurant,L69HYJ4Y3TR91,Animal,0.03636363636363637
chicken_fish,Level Change,-0.0199164072533333,-0.044743605,0.00985355375,2.76573891533711,3.53007798874987,Restaurant,ED5J990H5VAZT,Animal,0.03636363636363637
chicken_fish,Slope Change,-0.00202043802,-0.004896665,-4.86751e-4,3.05455518461436,3.4110367187033,Restaurant,SRQS8F7JWA9MZ,Animal,0.06666666666666667
chicken_fish,Slope Change,1.63611890730243e-4,-3.08274225e-5,7.48107775000001e-4,1.88289314657985,4.30166039031642,Restaurant,SRQS8F7JWA9MZ,Animal,0.06666666666666667
chicken_fish,Slope Change,-0.098557973,-0.259793,0.0474464,2.91059843347953,3.46028322001293,Restaurant,2HRX9P6HKXA8V,Animal,0.06666666666666667
chicken_fish,Slope Change,-0.434566564,-0.805038025,-0.158298,2.6406391259252,3.55662132842579,Restaurant,L69HYJ4Y3TR91,Animal,0.06666666666666667
chicken_fish,Slope Change,-0.0112726409666667,-0.198879,0.142050275,2.85318611553311,3.47072655338972,Restaurant,ED5J990H5VAZT,Animal,0.06666666666666667
chicken_fish,Gender x Level,-4.35747086393333e-6,-5.0608595e-5,4.05478125e-5,1.43665571896344,46.1679068064744,Restaurant,SRQS8F7JWA9MZ,Animal,0.06666666666666667
chicken_fish,Level Change,-5.01527038263333e-6,-5.5459285e-5,4.05342725e-5,1.55040789859236,25.5361993436332,Restaurant,SRQS8F7JWA9MZ_1_genderfemale,Animal,0.03636363636363637
chicken_fish,Gender x Level,6.70456707465667e-6,-4.0037035e-5,5.928606e-5,1.4672011079514,40.8666194109101,Restaurant,SRQS8F7JWA9MZ,Animal,0.06666666666666667
chicken_fish,Level Change,6.70052220643333e-6,-3.93286175e-5,6.179045e-5,1.54096551913038,23.519646380897,Restaurant,SRQS8F7JWA9MZ_2_genderfemale,Animal,0.03636363636363637
chicken_fish,Gender x Level,-0.141061916066667,-0.193057,-0.0519503,3.31334568433011,3.33961216311542,Restaurant,2HRX9P6HKXA8V,Animal,0.06666666666666667
chicken_fish,Level Change,-0.0680175908533333,-0.10979005,0.00812580125,3.29644168439935,3.34779656344999,Restaurant,2HRX9P6HKXA8V_1_genderfemale,Animal,0.03636363636363637
chicken_fish,Gender x Level,-0.2741749431,-0.66401605,-0.0156594825,3.01168820180491,3.43122394865523,Restaurant,L69HYJ4Y3TR91,Animal,0.06666666666666667
chicken_fish,Level Change,-0.1542754206,-0.248465025,-0.0495541,2.80076964653913,3.48913346188162,Restaurant,L69HYJ4Y3TR91_1_genderfemale,Animal,0.03636363636363637
chicken_fish,Gender x Level,-0.00163292754666667,-0.0169945025,0.009257512,2.67745016199095,3.52655159705363,Restaurant,ED5J990H5VAZT,Animal,0.06666666666666667
chicken_fish,Level Change,-0.00253477967266667,-0.03396402,0.026935655,3.42922339708855,3.32265369757453,Restaurant,ED5J990H5VAZT_1_genderfemale,Animal,0.03636363636363637
vegetarian,Level Change,-0.0167355614861333,-0.11414395,0.0675047400000001,1.00234418180915,587.016633262372,Restaurant,SRQS8F7JWA9MZ,Plant-based,0.03636363636363637
vegetarian,Level Change,0.00693982332952667,-0.0871138625,0.105830525,1.00480239739445,605.9192761401,Restaurant,SRQS8F7JWA9MZ,Plant-based,0.03636363636363637
vegetarian,Level Change,-0.0551943019285667,-0.213461125,0.066932195,1.00209401793757,443.439758979187,Restaurant,2HRX9P6HKXA8V,Plant-based,0.03636363636363637
vegetarian,Level Change,0.0090971393124,-0.1539595,0.271440525,1.00929335538805,365.846361587327,Restaurant,L69HYJ4Y3TR91,Plant-based,0.03636363636363637
vegetarian,Level Change,-0.0223748375388809,-0.0927147575,0.0441583575,1.00198185264303,985.834440059233,Restaurant,ED5J990H5VAZT,Plant-based,0.03636363636363637
vegetarian,Slope Change,0.0502060249714667,-0.357639075,0.609435375,1.00838295893807,424.318297841165,Restaurant,SRQS8F7JWA9MZ,Plant-based,0.06666666666666667
vegetarian,Slope Change,-0.0783766121395233,-0.62798175,0.3231883,1.00838556964394,416.923679476741,Restaurant,SRQS8F7JWA9MZ,Plant-based,0.06666666666666667
vegetarian,Slope Change,2.36696553866667e-4,-0.135431175,0.130382725,1.00881622526541,265.49999914353,Restaurant,2HRX9P6HKXA8V,Plant-based,0.06666666666666667
vegetarian,Slope Change,-0.108604039042367,-0.727292225,0.330947875,1.00840336823868,309.83381183516,Restaurant,L69HYJ4Y3TR91,Plant-based,0.06666666666666667
vegetarian,Slope Change,-0.106875423006,-0.2400315,0.0232289775,1.00392574414655,351.21786900832,Restaurant,ED5J990H5VAZT,Plant-based,0.06666666666666667
vegetarian,Gender x Level,0.0407019111139,-0.045087365,0.149244275,1.00010595975796,546.378714070964,Restaurant,SRQS8F7JWA9MZ,Plant-based,0.06666666666666667
vegetarian,Level Change,-0.159146434436,-0.276004775,-0.0354538375,1.00542073533516,416.957280212401,Restaurant,SRQS8F7JWA9MZ_1_genderfemale,Plant-based,0.03636363636363637
vegetarian,Gender x Level,-0.01996399605881,-0.1351966,0.0704947675,1.00124365771075,538.241467902103,Restaurant,SRQS8F7JWA9MZ,Plant-based,0.06666666666666667
vegetarian,Level Change,0.119619517926033,-0.0156230525,0.243299875,1.00649832765359,442.859248993279,Restaurant,SRQS8F7JWA9MZ_2_genderfemale,Plant-based,0.03636363636363637
vegetarian,Gender x Level,0.0368655558423667,-0.0856571375,0.152405925,1.00586687090042,371.625373887593,Restaurant,2HRX9P6HKXA8V,Plant-based,0.06666666666666667
vegetarian,Level Change,-0.0508686974151667,-0.183981275,0.0771316300000001,1.00154846196051,427.789102528749,Restaurant,2HRX9P6HKXA8V_1_genderfemale,Plant-based,0.03636363636363637
vegetarian,Gender x Level,0.236145035853667,0.08178175,0.415365575,1.00202951260758,365.335331583793,Restaurant,L69HYJ4Y3TR91,Plant-based,0.06666666666666667
vegetarian,Level Change,0.0174829949686,-0.14043105,0.1711516,1.00390529318151,568.603461304332,Restaurant,L69HYJ4Y3TR91_1_genderfemale,Plant-based,0.03636363636363637
vegetarian,Gender x Level,0.138814360666667,0.089163405,0.18709375,0.999585664552832,2131.74383112366,Restaurant,ED5J990H5VAZT,Plant-based,0.06666666666666667
vegetarian,Level Change,0.08990100725,0.04026367,0.139759625,0.999936269023944,2225.37224742644,Restaurant,ED5J990H5VAZT_1_genderfemale,Plant-based,0.03636363636363637
vegan,Level Change,-0.0168719859030667,-0.0708657075,0.036013685,1.00618186903392,208.639583859574,Restaurant,SRQS8F7JWA9MZ,Plant-based,0.03636363636363637
vegan,Level Change,0.0126707666593333,-0.0351972225,0.0702032775,1.01006372822505,149.065299056594,Restaurant,SRQS8F7JWA9MZ,Plant-based,0.03636363636363637
vegan,Level Change,0.0541814764296333,-0.01627132,0.14181115,1.04400453493153,82.7431179334956,Restaurant,2HRX9P6HKXA8V,Plant-based,0.03636363636363637
vegan,Level Change,0.00380712585606667,-0.115609975,0.120257725,1.02094359094988,115.554073051734,Restaurant,L69HYJ4Y3TR91,Plant-based,0.03636363636363637
vegan,Level Change,0.00600543515009667,-0.0267536975,0.03779097,1.00580318236523,511.762400213002,Restaurant,ED5J990H5VAZT,Plant-based,0.03636363636363637
vegan,Slope Change,-0.062679245642,-0.4009032,0.176916625,1.0065930454497,94.5609760491661,Restaurant,SRQS8F7JWA9MZ,Plant-based,0.06666666666666667
vegan,Slope Change,0.0350765411016667,-0.20278045,0.362498375,1.01449987485794,93.035768180492,Restaurant,SRQS8F7JWA9MZ,Plant-based,0.06666666666666667
vegan,Slope Change,-0.0562609397216333,-0.135837625,0.00809058075000002,1.03472623706726,65.0110307375187,Restaurant,2HRX9P6HKXA8V,Plant-based,0.06666666666666667
vegan,Slope Change,-0.0164860577843667,-0.2518261,0.244136025,1.04843885428754,84.2876829206333,Restaurant,L69HYJ4Y3TR91,Plant-based,0.06666666666666667
vegan,Slope Change,-7.00414113163333e-4,-0.05904438,0.0613983375,1.03442491112903,101.651687490175,Restaurant,ED5J990H5VAZT,Plant-based,0.06666666666666667
vegan,Gender x Level,-0.00751112150336667,-0.049564555,0.05136022,1.00401513803819,248.321412249745,Restaurant,SRQS8F7JWA9MZ,Plant-based,0.06666666666666667
vegan,Level Change,-0.09289033092,-0.15082745,-0.02919187,1.0084881449291,326.813780206009,Restaurant,SRQS8F7JWA9MZ_1_genderfemale,Plant-based,0.03636363636363637
vegan,Gender x Level,-0.0555823453483333,-0.116165575,-0.01305858,1.00539532576294,242.336371854598,Restaurant,SRQS8F7JWA9MZ,Plant-based,0.06666666666666667
vegan,Level Change,0.091367859322,0.0217512875,0.153513375,1.00978567923179,324.420867662543,Restaurant,SRQS8F7JWA9MZ_2_genderfemale,Plant-based,0.03636363636363637
vegan,Gender x Level,0.00313460495283,-0.043752215,0.0708672075,1.02697712546499,88.0566576752096,Restaurant,2HRX9P6HKXA8V,Plant-based,0.06666666666666667
vegan,Level Change,-0.0572504481107667,-0.127667525,0.006652207,1.03203592525218,74.9354258594148,Restaurant,2HRX9P6HKXA8V_1_genderfemale,Plant-based,0.03636363636363637
vegan,Gender x Level,-0.0169873365452667,-0.07818997,0.0354437175,1.01372033571689,150.115411664794,Restaurant,L69HYJ4Y3TR91,Plant-based,0.06666666666666667
vegan,Level Change,0.0162813952178,-0.04495845,0.093229125,1.0112243554355,147.769783527902,Restaurant,L69HYJ4Y3TR91_1_genderfemale,Plant-based,0.03636363636363637
vegan,Gender x Level,-0.0166577454664667,-0.0386800125,0.004891799,1.00324051760885,719.874828005724,Restaurant,ED5J990H5VAZT,Plant-based,0.06666666666666667
vegan,Level Change,-0.00613942435213333,-0.0273549,0.01495005,1.00301488358585,1070.57445711033,Restaurant,ED5J990H5VAZT_1_genderfemale,Plant-based,0.03636363636363637
