outcome,effect_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,ess_bulk
total,Level Change,1.26,0.97,1.68,1.0063371202275224,Restaurant,L69HYJ4Y3TR91,NA
total,Slope Change,2.29,0.81,9.7,1.0086656968143046,Restaurant,L69HYJ4Y3TR91,NA
total,Level Change,0.94,0.73,1.25,1.0016472808185335,Restaurant,ED5J990H5VAZT,NA
total,Slope Change,1.32,0.84,2.74,1.0246821892024014,Restaurant,ED5J990H5VAZT,NA
vegan,Level Change,1.1,0.87,1.4,1.0025117915991029,Restaurant,VLZX7K2M9QD4T,NA
vegan,Slope Change,0.9,0.18,2.92,1.0075044534278692,Restaurant,VLZX7K2M9QD4T,NA
vegan,Level Change,1,0.79,1.26,1.0051877095077741,Restaurant,SRQS8F7JWA9MZ,NA
vegan,Level Change,1.03,0.84,1.29,1.0026641842497723,Restaurant,SRQS8F7JWA9MZ,NA
vegan,Slope Change,0.51,0.09,1.31,1.00900363080486,Restaurant,SRQS8F7JWA9MZ,NA
vegan,Slope Change,1.24,0.48,6.09,1.005988947654137,Restaurant,SRQS8F7JWA9MZ,NA
vegan,Level Change,0.89,0.69,1.11,1.000142018673007,Restaurant,2HRX9P6HKXA8V,NA
vegan,Slope Change,0.92,0.54,1.61,1.0126913076442705,Restaurant,2HRX9P6HKXA8V,NA
vegan,Level Change,1.04,0.9,1.2,1.0122230261087966,Restaurant,JHDN7CF1C03X5,NA
vegan,Slope Change,1.08,0.78,1.54,1.0284678376629401,Restaurant,JHDN7CF1C03X5,NA
vegan,Level Change,1.2,0.89,1.8,1.0041051391014206,Restaurant,L69HYJ4Y3TR91,NA
vegan,Slope Change,3.52,0.93,28.17,1.0080109679939737,Restaurant,L69HYJ4Y3TR91,NA
vegan,Level Change,1.22,0.95,1.69,1.0010432772939948,Restaurant,ED5J990H5VAZT,NA
vegan,Slope Change,1.44,0.94,2.25,1.0016992121557893,Restaurant,ED5J990H5VAZT,NA
vegetarian,Level Change,0.98,0.73,1.32,1.0012447045028365,Restaurant,VLZX7K2M9QD4T,NA
vegetarian,Slope Change,1.02,0.37,2.39,1.0059938444330123,Restaurant,VLZX7K2M9QD4T,NA
vegetarian,Level Change,1.22,1.04,1.44,1.0012020158705102,Restaurant,SRQS8F7JWA9MZ,NA
vegetarian,Level Change,1.14,0.98,1.34,1.0006362412789414,Restaurant,SRQS8F7JWA9MZ,NA
vegetarian,Slope Change,0.78,0.3,1.67,1.0006145090400123,Restaurant,SRQS8F7JWA9MZ,NA
vegetarian,Slope Change,0.92,0.44,2.28,1.000357878558197,Restaurant,SRQS8F7JWA9MZ,NA
vegetarian,Level Change,0.59,0.44,0.78,1.0032827536553415,Restaurant,2HRX9P6HKXA8V,NA
vegetarian,Slope Change,1.15,0.77,1.86,1.007652908382053,Restaurant,2HRX9P6HKXA8V,NA
vegetarian,Level Change,0.95,0.83,1.1,1.0042181917491506,Restaurant,JHDN7CF1C03X5,NA
vegetarian,Slope Change,0.95,0.73,1.28,1.0083206718301159,Restaurant,JHDN7CF1C03X5,NA
vegetarian,Level Change,1.48,1.09,2.04,1.001514260187525,Restaurant,L69HYJ4Y3TR91,NA
vegetarian,Slope Change,1.5,0.77,4.85,1.0033511164772637,Restaurant,L69HYJ4Y3TR91,NA
vegetarian,Level Change,1.05,0.83,1.33,1.0024980606139482,Restaurant,ED5J990H5VAZT,NA
vegetarian,Slope Change,1.23,0.87,1.76,1.0052491940174193,Restaurant,ED5J990H5VAZT,NA
